home_team,away_team,tournament,neutral,away_score,Away Model,Home model
Hungary,Czechoslovakia,Friendly,FALSE,2.0,1.404296875,1.81005859375
Switzerland,Germany,Friendly,FALSE,3.0,2.07421875,1.348876953125
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
France,Belgium,Friendly,FALSE,2.0,1.298828125,2.135009765625
Netherlands,Belgium,Friendly,FALSE,1.0,1.29296875,2.353271484375
Austria,Hungary,Friendly,FALSE,0.0,1.69921875,1.96630859375
Netherlands,France,Friendly,FALSE,1.0,1.31640625,2.158935546875
Austria,England,Friendly,FALSE,6.0,1.953125,1.316162109375
Austria,Germany,Friendly,FALSE,2.0,1.953125,1.615478515625
Austria,England,Friendly,FALSE,11.0,1.953125,1.316162109375
Hungary,England,Friendly,FALSE,7.0,1.927734375,1.5927734375
Czechoslovakia,England,Friendly,FALSE,4.0,1.734375,1.756591796875
Sweden,Norway,Friendly,FALSE,3.0,1.107421875,2.475341796875
Uruguay,Argentina,Copa Lipton,FALSE,2.0,1.0703125,1.112548828125
Argentina,Uruguay,Copa Newton,FALSE,1.0,1.140625,2.23486328125
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,1.0,1.083984375,1.745849609375
Netherlands,Sweden,Friendly,FALSE,3.0,1.287109375,2.09716796875
Belgium,Sweden,Friendly,FALSE,1.0,1.53125,1.859619140625
Hungary,Austria,Friendly,FALSE,3.0,1.490234375,2.23681640625
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
Wales,Scotland,British Championship,FALSE,2.0,1.822265625,1.4931640625
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
Northern Ireland,Wales,British Championship,FALSE,3.0,1.671875,1.65478515625
Belgium,Netherlands,Friendly,FALSE,4.0,1.751953125,1.81787109375
England,Scotland,British Championship,FALSE,0.0,1.419921875,2.487548828125
Germany,Switzerland,Friendly,FALSE,0.0,0.984375,2.69091796875
Hungary,Germany,Friendly,FALSE,3.0,1.927734375,1.89208984375
Netherlands,Belgium,Friendly,FALSE,1.0,1.29296875,2.353271484375
Austria,Hungary,Friendly,FALSE,4.0,1.69921875,1.96630859375
Belgium,France,Friendly,FALSE,2.0,1.560546875,1.92138671875
Hungary,England,Friendly,FALSE,4.0,1.927734375,1.5927734375
Hungary,Austria,Friendly,FALSE,1.0,1.490234375,2.23681640625
Hungary,England,Friendly,FALSE,8.0,1.927734375,1.5927734375
Austria,England,Friendly,FALSE,8.0,1.953125,1.316162109375
Argentina,Uruguay,Copa Lipton,FALSE,1.0,0.763671875,1.841064453125
Uruguay,Argentina,Copa Newton,FALSE,2.0,1.4453125,1.50634765625
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,1.0,1.083984375,1.745849609375
Hungary,Austria,Friendly,FALSE,2.0,1.490234375,2.23681640625
Northern Ireland,England,British Championship,FALSE,1.0,2.697265625,0.987548828125
Scotland,Wales,British Championship,FALSE,0.0,1.064453125,2.2646484375
Belgium,Netherlands,Friendly,FALSE,2.0,1.751953125,1.81787109375
Wales,England,British Championship,FALSE,1.0,2.408203125,1.147216796875
Northern Ireland,Scotland,British Championship,FALSE,0.0,2.111328125,1.33349609375
Scotland,England,British Championship,FALSE,0.0,2.087890625,1.597412109375
France,Belgium,Friendly,FALSE,4.0,1.298828125,2.135009765625
Switzerland,Germany,Friendly,FALSE,3.0,2.07421875,1.348876953125
Netherlands,Belgium,Friendly,FALSE,0.0,1.29296875,2.353271484375
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
Netherlands,Germany,Friendly,FALSE,2.0,1.779296875,1.934814453125
Austria,Hungary,Friendly,FALSE,1.0,1.69921875,1.96630859375
Italy,France,Friendly,FALSE,2.0,1.0078125,1.86865234375
Germany,Belgium,Friendly,FALSE,3.0,1.267578125,2.593017578125
Hungary,Italy,Friendly,FALSE,1.0,1.3046875,1.637939453125
Argentina,Chile,Friendly,FALSE,1.0,0.455078125,2.2294921875
Chile,Uruguay,Friendly,TRUE,3.0,1.720703125,1.3359375
Argentina,Chile,Friendly,FALSE,1.0,0.455078125,2.2294921875
Argentina,Uruguay,Friendly,FALSE,1.0,0.88671875,1.967041015625
Uruguay,Argentina,Copa Lipton,FALSE,1.0,1.0703125,1.112548828125
Chile,Argentina,Friendly,FALSE,3.0,1.4453125,1.264404296875
Norway,Sweden,Friendly,FALSE,4.0,1.623046875,1.315185546875
Germany,Netherlands,Friendly,FALSE,2.0,1.48046875,2.295166015625
Hungary,Austria,Friendly,FALSE,0.0,1.490234375,2.23681640625
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,1.0,1.083984375,1.745849609375
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,6.0,1.083984375,1.745849609375
France,Hungary,Friendly,FALSE,3.0,1.529296875,2.0673828125
Italy,Hungary,Friendly,FALSE,1.0,1.216796875,1.995361328125
Switzerland,Hungary,Friendly,FALSE,0.0,1.8203125,1.69970703125
Northern Ireland,Wales,British Championship,FALSE,2.0,1.671875,1.65478515625
England,Northern Ireland,British Championship,FALSE,1.0,0.751953125,3.044189453125
Wales,Scotland,British Championship,FALSE,2.0,1.822265625,1.4931640625
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
Belgium,Netherlands,Friendly,FALSE,5.0,1.751953125,1.81787109375
Germany,Switzerland,Friendly,FALSE,2.0,0.984375,2.69091796875
England,Scotland,British Championship,FALSE,1.0,1.419921875,2.487548828125
Netherlands,Belgium,Friendly,FALSE,1.0,1.29296875,2.353271484375
France,Italy,Friendly,FALSE,2.0,1.162109375,1.46240234375
Belgium,Germany,Friendly,FALSE,1.0,2.025390625,1.697265625
Switzerland,France,Friendly,FALSE,2.0,1.611328125,1.572998046875
Belgium,France,Friendly,FALSE,1.0,1.560546875,1.92138671875
Austria,Hungary,Friendly,FALSE,1.0,1.69921875,1.96630859375
Italy,Switzerland,Friendly,FALSE,2.0,0.701171875,2.160888671875
Switzerland,Italy,Friendly,FALSE,0.0,1.451171875,1.0947265625
Sweden,Germany,Friendly,FALSE,4.0,1.865234375,1.843994140625
Argentina,Uruguay,Copa Lipton,FALSE,2.0,0.763671875,1.841064453125
Sweden,Norway,Friendly,FALSE,1.0,1.107421875,2.475341796875
Uruguay,Argentina,Copa Newton,FALSE,3.0,1.4453125,1.50634765625
Uruguay,Argentina,Copa Premio Honor Uruguayo,FALSE,1.0,1.056640625,1.739501953125
Germany,Austria,Friendly,FALSE,2.0,1.314453125,2.519287109375
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,0.0,1.083984375,1.745849609375
Finland,Sweden,Friendly,FALSE,5.0,2.1484375,1.115478515625
Germany,Sweden,Friendly,FALSE,3.0,1.259765625,2.3369140625
Hungary,Switzerland,Friendly,FALSE,0.0,1.158203125,2.408447265625
Luxembourg,France,Friendly,FALSE,4.0,2.79296875,0.38134765625
Uruguay,Argentina,Copa Premio Honor Uruguayo,FALSE,0.0,1.056640625,1.739501953125
Hungary,Austria,Friendly,FALSE,0.0,1.490234375,2.23681640625
Germany,Hungary,Friendly,FALSE,4.0,1.498046875,2.525390625
France,Belgium,Friendly,FALSE,1.0,1.298828125,2.135009765625
Northern Ireland,England,British Championship,FALSE,6.0,2.697265625,0.987548828125
France,Catalonia,Friendly,FALSE,0.0,0.650390625,2.759765625
France,Switzerland,Friendly,FALSE,1.0,1.013671875,2.23291015625
Belgium,Switzerland,Friendly,FALSE,2.0,1.255859375,2.213623046875
Scotland,Wales,British Championship,FALSE,0.0,1.064453125,2.2646484375
Belgium,Netherlands,Friendly,FALSE,2.0,1.751953125,1.81787109375
Wales,England,British Championship,FALSE,2.0,2.408203125,1.147216796875
Northern Ireland,Scotland,British Championship,FALSE,4.0,2.111328125,1.33349609375
Italy,France,Friendly,FALSE,4.0,1.0078125,1.86865234375
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
Netherlands,Germany,Friendly,FALSE,5.0,1.779296875,1.934814453125
Wales,Northern Ireland,British Championship,FALSE,3.0,1.154296875,2.0498046875
Hungary,Germany,Friendly,FALSE,4.0,1.927734375,1.89208984375
Netherlands,Belgium,Friendly,FALSE,3.0,1.29296875,2.353271484375
Austria,Hungary,Friendly,FALSE,1.0,1.69921875,1.96630859375
Switzerland,Germany,Friendly,FALSE,2.0,2.07421875,1.348876953125
Norway,Sweden,Friendly,FALSE,2.0,1.623046875,1.315185546875
Sweden,Hungary,Friendly,FALSE,2.0,1.611328125,2.19482421875
Norway,Hungary,Friendly,FALSE,6.0,1.861328125,1.503662109375
Sweden,Finland,Friendly,FALSE,1.0,0.654296875,2.904541015625
Austria,Germany,Friendly,TRUE,1.0,2.29296875,1.395263671875
Austria,Italy,Friendly,TRUE,1.0,1.669921875,1.14111328125
Austria,Norway,Friendly,TRUE,1.0,1.53515625,2.026611328125
Hungary,Austria,Friendly,TRUE,0.0,1.830078125,2.0166015625
Norway,Russia,Friendly,TRUE,1.0,1.927734375,0.7578125
Netherlands,Austria,Friendly,TRUE,1.0,1.6796875,2.059326171875
Russia,Hungary,Friendly,FALSE,9.0,1.416015625,1.918701171875
Russia,Hungary,Friendly,FALSE,12.0,1.416015625,1.918701171875
Uruguay,Argentina,Copa Lipton,FALSE,0.0,1.0703125,1.112548828125
Uruguay,Argentina,Copa Premio Honor Uruguayo,FALSE,0.0,1.056640625,1.739501953125
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,1.0,1.083984375,1.745849609375
Argentina,Uruguay,Copa Newton,FALSE,3.0,1.140625,2.23486328125
Denmark,Germany,Friendly,FALSE,1.0,1.9453125,1.6279296875
Hungary,Austria,Friendly,FALSE,0.0,1.490234375,2.23681640625
Sweden,Norway,Friendly,FALSE,2.0,1.107421875,2.475341796875
Germany,Netherlands,Friendly,FALSE,3.0,1.48046875,2.295166015625
Uruguay,Argentina,Friendly,FALSE,3.0,1.193359375,1.238525390625
Catalonia,France,Friendly,FALSE,0.0,1.537109375,1.57958984375
Italy,Austria,Friendly,FALSE,3.0,1.033203125,1.9892578125
France,Italy,Friendly,FALSE,0.0,1.162109375,1.46240234375
Northern Ireland,Wales,British Championship,FALSE,1.0,1.671875,1.65478515625
Northern Ireland,England,British Championship,FALSE,1.0,2.697265625,0.987548828125
Belgium,France,Friendly,FALSE,0.0,1.560546875,1.92138671875
Wales,Scotland,British Championship,FALSE,0.0,1.822265625,1.4931640625
Belgium,Netherlands,Friendly,FALSE,3.0,1.751953125,1.81787109375
Switzerland,France,Friendly,FALSE,4.0,1.611328125,1.572998046875
Northern Ireland,Scotland,British Championship,FALSE,2.0,2.111328125,1.33349609375
England,Wales,British Championship,FALSE,3.0,0.98046875,2.808837890625
England,Scotland,British Championship,FALSE,0.0,1.419921875,2.487548828125
France,Luxembourg,Friendly,FALSE,0.0,0.32421875,3.579345703125
Netherlands,Belgium,Friendly,FALSE,4.0,1.29296875,2.353271484375
Austria,Hungary,Friendly,FALSE,4.0,1.69921875,1.96630859375
Italy,Belgium,Friendly,FALSE,0.0,0.986328125,2.06298828125
Russia,Sweden,Friendly,FALSE,4.0,1.177734375,1.730224609375
Switzerland,Belgium,Friendly,FALSE,2.0,1.587890625,1.767333984375
Germany,Switzerland,Friendly,FALSE,2.0,0.984375,2.69091796875
Hungary,Sweden,Friendly,FALSE,0.0,1.435546875,2.054443359375
Denmark,Sweden,Friendly,FALSE,0.0,1.453125,1.790283203125
Sweden,Norway,Friendly,FALSE,0.0,1.107421875,2.475341796875
Argentina,Uruguay,Friendly,FALSE,1.0,0.88671875,1.967041015625
Austria,Italy,Friendly,FALSE,0.0,1.330078125,1.361328125
Argentina,Uruguay,Friendly,FALSE,1.0,0.88671875,1.967041015625
Argentina,Uruguay,Copa Lipton,FALSE,0.0,0.763671875,1.841064453125
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,0.0,1.083984375,1.745849609375
Russia,Norway,Friendly,FALSE,1.0,0.9140625,2.19921875
Chile,Argentina,Friendly,FALSE,2.0,1.4453125,1.264404296875
Sweden,Denmark,Friendly,FALSE,10.0,1.205078125,2.06787109375
Uruguay,Argentina,Copa Premio Honor Uruguayo,FALSE,0.0,1.056640625,1.739501953125
Germany,Denmark,Friendly,FALSE,4.0,1.09375,2.3984375
